track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre_score,track_pop
Noor,Lost Stories,45,"['hindi indie', 'indian edm', 'indian indie']",Noor,0.792,0.718,-4.619,0.044,0.39,7.5e-05,0.301,0.545,103.049,158447,4,52.0,51
Better Than It All,Raghav Meattle,34,"['indian indie', 'indian singer-songwriter', 'mumbai indie']",Songs From a Matchbox,0.678,0.657,-7.853,0.0795,0.286,0.0,0.117,0.798,67.501,181773,4,41.0,30
Tum Ho Yahaan,Abhilasha Sinha,32,"['indian indie', 'indian singer-songwriter']",Tum Ho Yahaan,0.504,0.548,-6.559,0.0296,0.803,0.0,0.324,0.279,162.997,196933,3,38.0,41
Shaayad,Taba Chake,41,"['indian indie', 'indian singer-songwriter', 'northeast indian indie']",Bombay Dreams,0.606,0.474,-8.498,0.0308,0.671,9.09e-06,0.114,0.43,94.967,208000,4,41.0,48
Tu Hai Wajah,Piyush Bhisekar,30,"['indian indie', 'indian singer-songwriter', 'pune indie']",Hai Bharosa,0.698,0.385,-13.217,0.0763,0.636,0.00409,0.134,0.493,135.167,193925,3,40.0,39
Khamoshi,Ritviz,61,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm']",Khamoshi,0.714,0.666,-7.944,0.0434,0.00451,0.0001,0.42,0.619,114.95,189391,4,410.0,53
Aisay Kaisay,Hasan Raheem,53,"['desi hip hop', 'indian lo-fi', 'pakistani indie', 'pakistani pop']",Aisay Kaisay,0.577,0.428,-9.066,0.0302,0.467,2.61e-05,0.272,0.401,104.938,198857,4,66.0,62
Give Me Some Sunshine,Suraj Jagan,50,"['filmi', 'modern bollywood']",3 Idiots,0.671,0.615,-7.992,0.0579,0.386,6.6e-06,0.106,0.566,97.999,245130,4,427.0,0
Badal Pe Paon Hai,Salim–Sulaiman,59,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",Chak De India,0.649,0.788,-9.607,0.0373,0.0717,0.00232,0.0936,0.869,104.999,243931,4,757.0,53
Mitwa,Shankar-Ehsaan-Loy,65,"['desi pop', 'filmi', 'modern bollywood']",Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),0.63,0.63,-7.525,0.0364,0.295,1.26e-05,0.0934,0.517,107.103,382973,4,751.0,64
Luka Chuppi,A.R. Rahman,75,"['desi pop', 'filmi', 'modern bollywood']",Rang De Basanti (Original Motion Picture Soundtrack),0.601,0.441,-8.946,0.0285,0.645,1.08e-06,0.0986,0.202,103.862,396507,4,751.0,57
Behti Hawa Sa Tha Woh,Shaan,65,"['desi pop', 'filmi', 'modern bollywood']",3 Idiots (Original Motion Picture Soundtrack),0.623,0.474,-10.532,0.0382,0.384,2.39e-05,0.0931,0.379,139.981,302143,4,751.0,60
Jaane Nahin Denge Tujhe,Sonu Nigam,71,"['desi pop', 'filmi', 'modern bollywood']",3 Idiots (Original Motion Picture Soundtrack),0.347,0.555,-5.789,0.0612,0.524,0.0,0.164,0.522,76.644,211099,4,751.0,54
Tum Mile,Pritam,82,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",Tum Mile (Original Motion Picture Soundtrack),0.738,0.798,-6.663,0.0334,0.32,5.15e-06,0.31,0.793,123.01,343787,4,790.0,65
Maa,Shankar Mahadevan,69,"['desi pop', 'filmi', 'modern bollywood']",Taare Zameen Par,0.392,0.256,-13.147,0.0369,0.728,9.46e-05,0.0462,0.154,67.609,310665,4,751.0,55
Ajab Si,KK,75,"['desi pop', 'filmi', 'modern bollywood']",Om Shanti Om,0.697,0.438,-8.411,0.0289,0.397,0.0,0.293,0.58,117.954,241668,4,751.0,72
Kholo Kholo,Raman Mahadevan,40,['filmi'],Taare Zameen Par,0.539,0.313,-10.99,0.0337,0.0688,1.65e-05,0.0935,0.239,169.863,311986,4,201.0,53
Jashn-E-Bahaaraa,A.R. Rahman,75,"['desi pop', 'filmi', 'modern bollywood']",Jodhaa Akbar (Original Motion Picture Soundtrack),0.7,0.343,-10.474,0.0308,0.767,0.0,0.0789,0.488,137.864,315173,4,751.0,70
Pretty Woman,Shankar-Ehsaan-Loy,65,"['desi pop', 'filmi', 'modern bollywood']",Kal Ho Naa Ho (Original Motion Picture Soundtrack),0.677,0.942,-6.105,0.16,0.124,0.0132,0.0819,0.598,173.991,353880,4,751.0,56
Baatein Kuch Ankahee,Pritam,82,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",Life In A Metro (Original Motion Picture Soundtrack),0.658,0.537,-7.604,0.0281,0.156,2.88e-06,0.176,0.231,121.968,275413,4,790.0,54
Aal Izz Well,Sonu Nigam,71,"['desi pop', 'filmi', 'modern bollywood']",3 Idiots (Original Motion Picture Soundtrack),0.788,0.873,-6.602,0.151,0.397,0.0,0.182,0.619,120.013,276125,4,751.0,53
Tu Jaane Na,Atif Aslam,72,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),0.702,0.86,-3.969,0.0345,0.361,1.33e-06,0.133,0.829,120.042,341933,4,779.0,71
Ajj Din Chadheya,Rahat Fateh Ali Khan,67,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",Love Aaj Kal (Original Motion Picture Soundtrack),0.585,0.688,-4.553,0.0722,0.551,6.7e-06,0.121,0.814,85.871,315013,4,459.0,48
Bum Bum Bole,Shaan,65,"['desi pop', 'filmi', 'modern bollywood']",Taare Zameen Par,0.818,0.768,-7.057,0.231,0.135,0.0,0.68,0.445,120.972,335833,4,751.0,50
Taare Zameen Par,Shankar Mahadevan,69,"['desi pop', 'filmi', 'modern bollywood']",Taare Zameen Par,0.567,0.383,-11.301,0.0342,0.421,0.0,0.0873,0.33,143.736,428499,4,751.0,51
Kal Ho Naa Ho,Shankar-Ehsaan-Loy,65,"['desi pop', 'filmi', 'modern bollywood']",Kal Ho Naa Ho (Original Motion Picture Soundtrack),0.532,0.529,-8.402,0.0352,0.334,0.000144,0.078,0.295,81.989,321240,4,751.0,65
Aao Milo Chalo,Pritam,82,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",Jab We Met,0.504,0.787,-5.948,0.0605,0.412,0.0,0.323,0.49,114.772,325934,4,790.0,60
Tera Hone Laga Hoon,Atif Aslam,72,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),0.684,0.771,-5.353,0.0307,0.548,0.0,0.112,0.539,119.982,299827,4,779.0,72
Roobaroo,A.R. Rahman,75,"['desi pop', 'filmi', 'modern bollywood']",Rang De Basanti (Original Motion Picture Soundtrack),0.675,0.582,-8.891,0.0277,0.661,5.56e-06,0.0854,0.538,120.991,282973,4,751.0,58
You Are My Soniya,Sandesh Shandilya,48,"['afghan pop', 'classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),0.853,0.785,-6.08,0.0619,0.29,0.0,0.0589,0.786,106.046,343613,4,781.0,57
Woh Ladki Hai Kahan,Shaan,65,"['desi pop', 'filmi', 'modern bollywood']",Dil Chahta Hai,0.786,0.677,-8.624,0.183,0.172,0.000104,0.0446,0.858,94.985,306133,4,751.0,62
Maahi Ve,Shankar-Ehsaan-Loy,65,"['desi pop', 'filmi', 'modern bollywood']",Kal Ho Naa Ho (Original Motion Picture Soundtrack),0.815,0.833,-6.117,0.0769,0.0297,2e-05,0.33,0.563,99.989,366853,4,751.0,62
Chak De India,Salim–Sulaiman,59,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",Chak De India,0.755,0.894,-8.544,0.0993,0.54,1.55e-05,0.141,0.799,104.985,283951,4,757.0,53
Main Agar Kahoon,Sonu Nigam,71,"['desi pop', 'filmi', 'modern bollywood']",Om Shanti Om,0.533,0.436,-7.521,0.0276,0.234,3.17e-06,0.46,0.371,146.868,308158,3,751.0,65
Kaise Mujhe,Benny Dayal,66,"['desi pop', 'filmi', 'modern bollywood']",Ghajini,0.59,0.414,-12.391,0.0346,0.781,0.000522,0.146,0.292,82.002,343742,4,751.0,60
Aaoge Jab Tum,Rashid Khan,46,"['ghazal', 'hindustani classical', 'hindustani vocal', 'indian classical', 'khayal']",Jab We Met,0.645,0.459,-9.484,0.0296,0.185,0.0,0.132,0.379,119.987,355066,4,14.0,63
In Dino,Pritam,82,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",Life In A Metro (Original Motion Picture Soundtrack),0.41,0.633,-6.989,0.0378,0.513,0.0,0.116,0.344,101.461,397027,4,790.0,58
Tere Bina,A.R. Rahman,75,"['desi pop', 'filmi', 'modern bollywood']",Guru (Original Motion Picture Soundtrack),0.744,0.7,-7.663,0.0375,0.278,0.000155,0.068,0.867,144.033,309640,4,751.0,64
Kuch To Hua Hai,Shankar-Ehsaan-Loy,65,"['desi pop', 'filmi', 'modern bollywood']",Kal Ho Naa Ho (Original Motion Picture Soundtrack),0.674,0.661,-7.973,0.0618,0.128,2.03e-05,0.283,0.458,95.967,319560,4,751.0,54
Deewana Hai Dekho,Sandesh Shandilya,48,"['afghan pop', 'classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),0.776,0.792,-5.619,0.18,0.167,1.96e-06,0.13,0.588,102.988,345267,4,781.0,55
Yun Hi Chala Chal,Udit Narayan,72,"['chutney', 'classic bollywood', 'desi pop', 'filmi']",Swades,0.822,0.687,-8.167,0.0421,0.0593,0.0,0.0609,0.816,106.47,446987,4,563.0,54
Deewangi Deewangi,Shaan,65,"['desi pop', 'filmi', 'modern bollywood']",Om Shanti Om,0.725,0.918,-4.875,0.0447,0.0289,5.13e-06,0.602,0.927,107.975,352388,4,751.0,57
Shukran Allah,Salim–Sulaiman,59,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",Kurbaan (Original Motion Picture Soundtrack),0.432,0.695,-8.022,0.111,0.732,0.0014,0.274,0.513,116.153,290053,3,757.0,63
