track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_pop
Two Oruguitas,Sebastian Yatra,80,"['colombian pop', 'latin', 'reggaeton colombiano']",Encanto (Original Motion Picture Soundtrack),0.563,0.408,-8.888,0.0472,0.736,0.0,0.086,0.482,94.799,214600,4,69
The World Es Mi Familia,Anthony Gonzalez,55,['movie tunes'],Coco (Original Motion Picture Soundtrack),0.613,0.478,-6.01,0.311,0.864,0.0,0.124,0.564,115.551,50765,4,58
When You Wish Upon a Star,Cliff Edwards,41,['movie tunes'],Pinocchio,0.236,0.261,-13.647,0.0374,0.955,0.0245,0.424,0.106,93.383,195067,3,58
Honor To Us All,Lea Salonga,58,"['hollywood', 'movie tunes', 'show tunes', 'tagalog worship']",Mulan Original Soundtrack,0.463,0.444,-11.288,0.0467,0.277,0.0,0.0948,0.655,168.051,183680,4,0
1 True Love,4*TOWN (From Disney and Pixar’s Turning Red),64,['disney'],Turning Red (Original Motion Picture Soundtrack),0.622,0.364,-10.547,0.0328,0.178,5.84e-06,0.122,0.221,120.075,199907,4,65
I See the Light,DCappella,49,['hollywood'],I See the Light,0.504,0.334,-8.143,0.0258,0.759,0.0,0.11,0.245,98.032,188420,4,55
Start of Something New - Nini Version,Olivia Rodrigo,85,['pop'],High School Musical: The Musical: The Series (Original Soundtrack),0.483,0.245,-7.511,0.0364,0.809,0.0,0.106,0.32,77.704,101176,3,62
"Reflection - From ""Mulan"" / Soundtrack Version",Lea Salonga,58,"['hollywood', 'movie tunes', 'show tunes', 'tagalog worship']",Disney's Greatest Volume 1,0.321,0.29,-13.927,0.0343,0.799,0.00324,0.361,0.0783,92.375,146840,4,60
"Colors of the Wind - From ""Pocahontas"" / Soundtrack Version",Judy Kuhn,52,"['hollywood', 'movie tunes', 'show tunes']",Pocahontas,0.272,0.164,-17.04,0.046,0.929,0.0011,0.109,0.228,81.551,214400,3,64
Lost in the Woods,Jonathan Groff,62,"['hollywood', 'show tunes']",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),0.366,0.478,-6.972,0.0277,0.695,8.91e-06,0.124,0.293,149.307,180763,4,66
Trashin' The Camp,Rosie O'Donnell,39,[],Tarzan (Original Motion Picture Soundtrack),0.751,0.719,-8.19,0.144,0.167,0.0461,0.38,0.568,97.063,135467,4,58
Lead the Way,Jhené Aiko,75,"['alternative r&b', 'dance pop', 'pop', 'r&b', 'urban contemporary']",Raya and the Last Dragon (Original Motion Picture Soundtrack),0.546,0.704,-5.154,0.044,0.477,0.0,0.0892,0.328,101.005,223836,4,63
